"Date","Period","Capacity"
37826,34,0.064068244
37826,35,0.00649452
37826,36,0.00324726
37826,37,0
37826,38,0
37826,39,0
37826,40,0
37826,41,0
37826,42,0
37826,43,0
37826,44,0
37826,45,0
37826,46,0
37826,47,0
37826,48,0
37827,1,0
37827,2,0
37827,3,0
37827,4,0
37827,5,0
37827,6,0
37827,7,0
37827,8,0
37827,9,0
37827,10,0
37827,11,0
37827,12,0
37827,13,0
37827,14,0
37827,15,0
37827,16,0.0356223525
37827,17,0.071244705
37827,18,0.17011327
37827,19,0.268981835
37827,20,0.328987341
37827,21,0.388992847
37827,22,0.358929016
37827,23,0.328865185
37827,24,0.342917141
37827,25,0.356969097
37827,26,0.362593687
37827,27,0.368218277
37827,28,0.387094573
37827,29,0.405970869
37827,30,0.360536157
37827,31,0.315101445
37827,32,0.2263300535
37827,33,0.137558662
37827,34,0.071372632
37827,35,0.005186602
37827,36,0.002593301
37827,37,0
37827,38,0
37827,39,0
37827,40,0
37827,41,0
37827,42,0
37827,43,0
37827,44,0
37827,45,0
37827,46,0
37827,47,0
37827,48,0
37828,1,0
37828,2,0
37828,3,0
37828,4,0
37828,5,0
37828,6,0
37828,7,0
37828,8,0
37828,9,0
37828,10,0
37828,11,0
37828,12,0
37828,13,0
37828,14,0
37828,15,0
37828,16,0.042199117
37828,17,0.084398234
37828,18,0.149152429
37828,19,0.213906624
37828,20,0.289054658
37828,21,0.364202692
37828,22,0.4091901745
37828,23,0.454177657
37828,24,0.4430229295
37828,25,0.431868202
37828,26,0.4070257985
37828,27,0.382183395
37828,28,0.3517090305
37828,29,0.321234666
37828,30,0.2850076425
37828,31,0.248780619
37828,32,0.1897773895
37828,33,0.13077416
37828,34,0.068558988
37828,35,0.006343816
37828,36,0.003171908
37828,37,0
37828,38,0
37828,39,0
37828,40,0
37828,41,0
37828,42,0
37828,43,0
37828,44,0
37828,45,0
37828,46,0
37828,47,0
37828,48,0
37829,1,0
37829,2,0
37829,3,0
37829,4,0
37829,5,0
37829,6,0
37829,7,0
37829,8,0
37829,9,0
37829,10,0
37829,11,0
37829,12,0
37829,13,0
37829,14,0
37829,15,0
37829,16,0.042199117
37829,17,0.084398234
37829,18,0.149152429
37829,19,0.213906624
37829,20,0.289054658
37829,21,0.364202692
37829,22,0.4091901745
37829,23,0.454177657
37829,24,0.4430229295
37829,25,0.431868202
37829,26,0.4070257985
37829,27,0.382183395
37829,28,0.3517090305
37829,29,0.321234666
37829,30,0.2850076425
37829,31,0.248780619
37829,32,0.1897773895
37829,33,0.13077416
37829,34,0.068558988
37829,35,0.006343816
37829,36,0.003171908
37829,37,0
37829,38,0
37829,39,0
37829,40,0
37829,41,0
37829,42,0
37829,43,0
37829,44,0
37829,45,0
37829,46,0
37829,47,0
37829,48,0
37830,1,0
37830,2,0
37830,3,0
37830,4,0
37830,5,0
37830,6,0
37830,7,0
37830,8,0
37830,9,0
37830,10,0
37830,11,0
37830,12,0
37830,13,0
37830,14,0
37830,15,0
37830,16,0.0703851765
37830,17,0.140770353
37830,18,0.190555849
37830,19,0.240341345
37830,20,0.2827854295
37830,21,0.325229514
37830,22,0.319887227
37830,23,0.31454494
37830,24,0.302094131
37830,25,0.289643322
37830,26,0.3701981225
37830,27,0.450752923
37830,28,0.453164688
37830,29,0.455576453
37830,30,0.36947985
37830,31,0.283383247
37830,32,0.212917957
37830,33,0.142452667
37830,34,0.0758859335
37830,35,0.0093192
37830,36,0.0046596
37830,37,0
37830,38,0
37830,39,0
37830,40,0
37830,41,0
37830,42,0
37830,43,0
37830,44,0
37830,45,0
37830,46,0
37830,47,0
37830,48,0
37831,1,0
37831,2,0
37831,3,0
37831,4,0
37831,5,0
37831,6,0
37831,7,0
37831,8,0
37831,9,0
37831,10,0
37831,11,0
37831,12,0
37831,13,0
37831,14,0
37831,15,0
37831,16,0.0703851765
37831,17,0.140770353
37831,18,0.190555849
37831,19,0.240341345
37831,20,0.2827854295
37831,21,0.325229514
